title	link	summary	green_innovation	business_innovation	green_product	green_process	company	official_company_name	product_or_process	likely_naics_codes	greenwashing
Apple unveils its first carbon neutral products - Apple	https://news.google.com/rss/articles/CBMiV2h0dHBzOi8vd3d3LmFwcGxlLmNvbS9uZXdzcm9vbS8yMDIzLzA5L2FwcGxlLXVudmVpbHMtaXRzLWZpcnN0LWNhcmJvbi1uZXV0cmFsLXByb2R1Y3RzL9IBAA?oc=5	Apple has unveiled its first-ever carbon neutral products in the all-new Apple Watch lineup. The company made significant progress towards its ambitious Apple 2030 climate goal by ending the use of leather across all of its product lines, using 30 percent recycled or renewable material by weight in the new products, and shipping 50 percent of products without the use of air transportation. Innovations in design, materials, and clean energy have driven dramatic reductions in product emissions of over 75 percent for each carbon neutral Apple Watch.	TRUE, the new Apple Watch lineup meets the criteria to be a green innovation because it contributes to environmental sustainability goals, such as decarbonisation, reducing or replacing harmful substances, and reducing resource consumption by developing a circular economy.	TRUE, the new Apple Watch lineup meets the criteria to be a business innovation because it is a new or significantly improved product that differs from the firm's previous products and has been introduced on the market.	TRUE,  the Apple Watch lineup meets the criteria to be a green product because it is designed, manufactured, and used in a way that significantly reduces its environmental impact throughout its life cycle.	FALSE, the article does not describe a process that meets the criteria to be a green process.	Apple	Apple Inc.	Apple Watch lineup	['334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing', '334413 - Semiconductor and Related Device Manufacturing', '591201 - Wireless Telecommunications Carriers (except Satellite)', '423430 - Computer and Computer Peripheral Equipment and Software Merchant Wholesalers']	FALSE, the described product and process innovation is not an example of greenwashing because the environmental benefits of the product are not false or misleading.
How does technology affect the environment? - Telefónica	https://news.google.com/rss/articles/CBMiWGh0dHBzOi8vd3d3LnRlbGVmb25pY2EuY29tL2VuL2NvbW11bmljYXRpb24tcm9vbS9ibG9nL2hvdy10ZWNobm9sb2d5LWFmZmVjdC1lbnZpcm9ubWVudC_SAVxodHRwczovL3d3dy50ZWxlZm9uaWNhLmNvbS9lbi9jb21tdW5pY2F0aW9uLXJvb20vYmxvZy9ob3ctdGVjaG5vbG9neS1hZmZlY3QtZW52aXJvbm1lbnQvYW1wLw?oc=5	Technology can have both positive and negative effects on the environment. On the one hand, it can be used to develop green innovations that help to reduce environmental impacts. On the other hand, the production and use of technology can also lead to pollution and other environmental problems.  The relationship between environment and technology is complex. However, with the right approach, technology can be a powerful tool for building a greener and more sustainable future.  Recent advances in technology have led to the development of new products and processes that help reduce environmental impacts.	TRUE, the article discusses several examples of green innovations, such as renewable energy, waste management, and efficient management of natural resources.	FALSE, while the article mentions that the business sector can play a role in environmental sustainability through innovation, it does not provide specific examples of business innovations.	TRUE, the article mentions that green products are designed to reduce environmental impact throughout their life cycle.	TRUE, the article mentions that green processes minimize environmental impacts and promote sustainability.	company not identified	company not identified	product or process not identified	['325110 Wood Window and Door Manufacturing', '326199 Other Wood Product Manufacturing', '337110 Wood Kitchen Cabinet and Countertop Manufacturing', '488390 Other Support Activities for Road Transportation']	FALSE, the article does not provide any examples of greenwashing.
CSRWire - Better Planet: Helping Kohler Customers Reduce Their Environmental Footprints - CSRwire.com	https://news.google.com/rss/articles/CBMiemh0dHBzOi8vd3d3LmNzcndpcmUuY29tL3ByZXNzX3JlbGVhc2VzLzc4MzkxNi1iZXR0ZXItcGxhbmV0LWhlbHBpbmcta29obGVyLWN1c3RvbWVycy1yZWR1Y2UtdGhlaXItZW52aXJvbm1lbnRhbC1mb290cHJpbnRz0gEA?oc=5	Kohler's Better Planet strategy focuses on improving its operational environmental footprint and designing environmentally friendly products. Kohler uses a Design for Environment (DfE) methodology to consider the environmental impact of its products throughout their life cycle. Kohler received its thirteenth WaterSense® award in 2022 for its leadership in the development and use of water-efficient products.	TRUE, Kohler's DfE methodology is an innovation that contributes to environmental sustainability goals, such as reducing resource consumption and promoting the circular economy.	TRUE, Kohler's DfE methodology is a new and improved business process for one or more business functions that differs significantly from the firm's previous business processes.	TRUE, Kohler's DfE methodology is used to design environmentally friendly products that help customers and consumers reduce their own environmental impact.	TRUE, Kohler's KOHLER WasteLAB uses a variety of landfill-bound materials left over from the manufacturing process to design and produce artful tile and other products.	Kohler	Kohler Co.	Design for Environment (DfE) methodology	['326199 - All Other Plastics Product Manufacturing', '332999 - All Other Fabricated Metal Product Manufacturing', '337127 - Kitchen Cabinet and Countertop Manufacturing', '337215 - Showcase, Partition, Shelving, and Locker Manufacturing']	FALSE
Pirelli Unveils New Logo for 50%+ Sustainable Tires - AftermarketNews.com (AMN)	https://news.google.com/rss/articles/CBMiUmh0dHBzOi8vd3d3LmFmdGVybWFya2V0bmV3cy5jb20vcGlyZWxsaS11bnZlaWxzLW5ldy1sb2dvLWZvci01MC1zdXN0YWluYWJsZS10aXJlcy_SAQA?oc=5	Pirelli has created a new logo to identify tires that contain at least 50% materials of bio-based and recycled origin. The new logo is designed to help customers choose more sustainable tires. Pirelli says its path towards reduced environmental impact includes the ever-increasing use of sustainable materials.	TRUE	TRUE	TRUE	TRUE	Pirelli	Pirelli & C. S.p.A.	P Zero E tire	['301110 - Tire Manufacturing', '326299 - All Other Rubber Product Manufacturing', '326199 - Other Plastics Product Manufacturing', '541890 - Other Professional, Scientific, and Technical Services']	FALSE
European Commission Adopts Measures Restricting Intentional Microplastics - Cosmetics & Toiletries	https://news.google.com/rss/articles/CBMimgFodHRwczovL3d3dy5jb3NtZXRpY3NhbmR0b2lsZXRyaWVzLmNvbS9yZWd1bGF0aW9ucy9lY28tc3VzdGFpbmFibGUvbmV3cy8yMjg3NDQ2OS9ldXJvcGVhbi1jb21taXNzaW9uLWFkb3B0cy1tZWFzdXJlcy1yZXN0cmljdGluZy1pbnRlbnRpb25hbC1taWNyb3BsYXN0aWNz0gEA?oc=5	The European Commission has adopted measures to restrict microplastics in products under the EU chemical legislation REACH. The measures will prohibit the sale of microplastics, products to which microplastics have been intentionally added, and products that release those microplastics when used. The first measures, such as the ban on loose glitter and microbeads, will apply once the restriction enters into force — 20 days after the Sept. 25, 2023 announcement.	TRUE. The measures will prevent the release to the environment of approximately half a million tonnes of microplastics.	FALSE. The article does not describe a specific product or process that meets the criteria to be a business innovation.	FALSE. The article does not describe a specific product that meets the criteria to be a green product.	FALSE. The article does not describe a specific process that meets the criteria to be a green process.	European Commission	European Commission	Microplastics ban	['325998 - All Other Miscellaneous Chemical Product and Preparation Manufacturing', '326111 - Plastics Bag and Pouch Manufacturing', '326112 - Plastics Bottle Manufacturing', '326199 - All Other Plastics Product Manufacturing']	FALSE. There is no evidence to suggest that the described product or process innovation is an example of greenwashing.
New REGARD Products Make Commercial Cleaning More Sustainable - GlobeNewswire	https://news.google.com/rss/articles/CBMiiAFodHRwczovL3d3dy5nbG9iZW5ld3N3aXJlLmNvbS9lbi9uZXdzLXJlbGVhc2UvMjAyMy8wOS8yOC8yNzUxMzU2LzAvZW4vTmV3LVJFR0FSRC1Qcm9kdWN0cy1NYWtlLUNvbW1lcmNpYWwtQ2xlYW5pbmctTW9yZS1TdXN0YWluYWJsZS5odG1s0gEA?oc=5	Bunzl Canada has recently launched a new line of environmentally preferable cleaning products under the REGARD™ brand banner that are ECOLOGO® and Green Seal™-certified, environmentally responsible cleaning products that are also non-caustic and hypoallergenic.	TRUE, the new line of cleaning products are environmentally preferable and are designed to minimize waste and resource consumption.	TRUE, the new line of cleaning products are packaged in a unique ellipses shape that results in more product per box and less warehousing and transportation resource waste.	TRUE, the new line of cleaning products are ECOLOGO® and Green Seal™-certified, environmentally responsible cleaning products	TRUE, the new line of cleaning products are packaged in a way to reduce waste and resource consumption.	Bunzl Canada	Bunzl Canada Inc.	REGARD™ Eco-Friendlier Cleaning Solutions	['325612 - Polish and Other Sanitation Good Manufacturing', '325998 - All Other Miscellaneous Chemical Product Manufacturing', '562111 - Solid Waste Collection', '562998 - All Other Miscellaneous Waste Management Services']	FALSE, the described product innovation is not an example of greenwashing because the product is genuinely environmentally preferable and is certified by ECOLOGO® and Green Seal™.
Sustainability: How to measure the impact of cosmetic products? - Premium beauty	https://news.google.com/rss/articles/CBMiTGh0dHBzOi8vd3d3LnByZW1pdW1iZWF1dHluZXdzLmNvbS9lbi9zdXN0YWluYWJpbGl0eS1ob3ctdG8tbWVhc3VyZS10aGUsMjI1NTnSAQA?oc=5	The Sustainable Cosmetics Summit 2023 will discuss the impacts of cosmetic and personal care products on the environment and explore green innovations. Key topics include sustainability metrics, biodiversity, climate-friendly cosmetics, and responsible consumption. The summit will feature speakers from leading companies such as Garnier, Lavera, AAK, and Davines.	TRUE, the summit discusses green innovations such as regenerative agriculture, sustainable coconut sourcing, and novel green chemicals.	TRUE, the summit discusses business innovations such as precision fermentation for sustainable ingredients and technology for deforestation-free supply chains.	TRUE, the summit discusses green products such as those made with upcycled materials and ingredients for waterless cosmetics.	TRUE, the summit discusses green processes such as regenerative agriculture, which improves soil fertility and sequestrates carbon.	company not identified	company not identified	product or process not identified	['325611 Soap and Other Detergent Manufacturing', '325620 Toilet Preparation Manufacturing', "424210 Drugs and Druggists' Sundries Merchant Wholesalers", '446120 Cosmetics, Beauty Supplies, and Perfume Stores']	The article does not provide any examples of greenwashing.
Gruppo Mastrotto, a commited tannery - Leather - Premiere Vision	https://news.google.com/rss/articles/CBMiRWh0dHBzOi8vd3d3LnByZW1pZXJldmlzaW9uLmNvbS9lbi9tYWdhemluZS9tYXN0cm90dG8tb3JnYW5pYy1sZWF0aGVyL9IBAA?oc=5	Gruppo Mastrotto, an international leather manufacturer, is committed to reducing its environmental impact. The company has developed a new range of leathers, called Organic Leather, that are highly biodegradable, in line with ISO 20136 standards. This innovation has numerous virtues and impacts the entire production chain, reducing chemical impacts, managing product end-of-life, and reducing effluents and production waste.	TRUE	TRUE	TRUE	TRUE	Gruppo Mastrotto	Gruppo Mastrotto S.p.A.	Organic Leather	['316110 - Leather and Hide Tanning and Finishing', '325991 - Leather and Hide Cutting and Finishing', '315999 - Other Leather and Allied Product Manufacturing', '562991 - Packaging Paper and Plastics Film and Sheet Printing']	FALSE
DuPont demonstrates how PPE can be more sustainable at A+A - Cleanroom Technology	https://news.google.com/rss/articles/CBMiYWh0dHBzOi8vY2xlYW5yb29tdGVjaG5vbG9neS5jb20vZHVwb250LWRlbW9uc3RyYXRlcy1ob3ctcHBlLWNhbi1iZS1tb3JlLXN1c3RhaW5hYmxlLWF0LWEtYS0yMTEzNzLSAQA?oc=5	DuPont is showcasing its latest Tyvek, Nomex, and Kevlar solutions at A+A 2023, which enhance worker protection and comfort, help reduce the environmental footprint of PPE, and support companies in the green transition. DuPont is improving PPE sustainability along the value chain and has launched a program to help users recycle non-contaminated DuPont Tyvek protective garments.	TRUE	TRUE	TRUE	TRUE	DuPont	DuPont de Nemours, Inc.	DuPont Tyvek 400 Dual TG coverall, DuPont Tychem 6000 Air-Line (AL) ventilated coverall, Nomex Comfort with EcoForce technology, Kevlar engineered yarns	['313210 - Fabric Mills', '314999 - All Other Textile Product Mills', '325211 - Plastics Sheet, Film, and Bag Manufacturing', '562112 - Hazardous Waste Treatment and Disposal']	FALSE
Vivobarefoot Is Serious About Circularity and Scoring Its Environmental Impact - Footwear News	https://news.google.com/rss/articles/CBMiZWh0dHBzOi8vZm9vdHdlYXJuZXdzLmNvbS9idXNpbmVzcy9idXNpbmVzcy1uZXdzL3Zpdm9iYXJlZm9vdC1zdXN0YWluYWJpbGl0eS1jaXJjLWRlYWwtbGNhLTEyMDM1MDgwODkv0gFpaHR0cHM6Ly9mb290d2Vhcm5ld3MuY29tL2J1c2luZXNzL2J1c2luZXNzLW5ld3Mvdml2b2JhcmVmb290LXN1c3RhaW5hYmlsaXR5LWNpcmMtZGVhbC1sY2EtMTIwMzUwODA4OS9hbXAv?oc=5	Vivobarefoot, a sustainable footwear brand, and Circ, a textile-to-textile recycling company, are partnering to develop footwear uppers made entirely of a single material (polyester) that can be chemically recycled and reused in the production of new footwear without the need to add any virgin materials. The goal is to create a shoe that is truly “recyclable.” The new footwear is slated to launch in fall 2024.	TRUE, The new footwear innovation is a green innovation because it contributes to environmental sustainability goals by reducing resource consumption by developing a circular economy.	TRUE, The new footwear innovation is a business innovation because it is a new or improved product that differs significantly from the firm's previous products and that has been introduced on the market.	TRUE, The new footwear innovation is a green product because it is a good that is designed, manufactured, and used in a way that significantly reduces its environmental impact throughout its life cycle.	TRUE, The new footwear innovation is a green process because it refers to a method or technique in manufacturing, production, or any other operational activity that minimizes environmental impacts and promotes sustainability.	Vivobarefoot	Vivobarefoot Ltd.	Vivobarefoot Primus Circular	['316219 - Other Footwear Manufacturing', '325998 - All Other Miscellaneous Textile Product Mills', '562211 - Solid Waste Collection', '562920 - Materials Recovery Facilities']	FALSE, The described product or process innovation is not an example of greenwashing because it is not a false or misleading statement about the environmental benefits of a product or practice.
